RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MeanValue,DateTime,pred_mean,conf_min,conf_max,conf_mean,ROI,lat,lng,housing_units,occupied_units,median_value,pct_occ,hhi_delta,Train,Station
61892,10606,White Plains,NY,New York,Westchester,7268,468300.0,2014-01-01,649515.129415524,3926.7405312368646,343428.3114422248,148019.06509237408,14.009,41.02,-73.78,6125.0,5755.0,512700.0,0.9395918367346939,16571.0,HARLEM,White Plains
61867,10570,Pleasantville,NY,New York,Westchester,8198,549700.0,2014-01-01,668792.8043357892,5754.287799737882,520603.5756701746,224390.25319385302,9.904,41.13,-73.79,4357.0,4201.0,641500.0,0.9641955473949966,53999.0,HARLEM,Pleasantville
61828,10514,Chappaqua,NY,New York,Westchester,8526,800300.0,2014-01-01,999197.3994928198,7253.1894234919455,1120391.0089754178,467762.3083434499,31.004,41.18,-73.77,4033.0,3893.0,912700.0,0.9652863873047359,44962.0,HARLEM,Chappaqua
61903,10709,Eastchester,NY,New York,Westchester,8767,591100.0,2014-01-01,710892.2979024182,5070.508319620974,495960.15521462145,211346.6010184681,5.369,40.96,-73.81,3781.0,3595.0,580500.0,0.9508066649034647,46235.0,HARLEM,Crestwood
61845,10536,Somers,NY,New York,Westchester,8775,620200.0,2014-01-01,670098.1607267833,6872.063290370628,799937.3022332822,312123.38729239977,9.663,41.27,-73.69,3776.0,3581.0,731800.0,0.9483580508474576,70349.0,HARLEM,Katonah
61890,10604,White Plains,NY,New York,Westchester,8873,520600.0,2014-01-01,715869.2068809669,5138.177491295384,495532.3655374935,211414.85735349156,23.426,41.05,-73.73,4252.0,4017.0,666000.0,0.9447318908748824,4900.0,HARLEM,White Plains
61860,10553,Mount Vernon,NY,New York,Westchester,8967,253700.0,2014-01-01,300303.8022300415,6255.936614658218,568612.3904852396,238123.52644856836,-18.812,40.91,-73.82,3812.0,3499.0,412300.0,0.917890870933893,4046.0,HARLEM,Mount Vernon West
61836,10523,Elmsford,NY,New York,Westchester,9210,375600.0,2014-01-01,419506.81847948884,5703.508127794252,521054.5136237614,222840.55434585828,4.348,41.05,-73.82,2676.0,2514.0,424200.0,0.9394618834080718,21799.0,HARLEM,Hartsdale
61820,10504,North Castle,NY,New York,Westchester,9724,955500.0,2014-01-01,1153808.4626774292,12844.63101642672,1349994.78766884,580896.2005927266,48.34,41.13,-73.69,2735.0,2605.0,1000001.0,0.9524680073126143,159778.0,HARLEM,White Plains
61854,10547,Yorktown,NY,New York,Westchester,9801,313900.0,2014-01-01,369142.7879925228,2958.5102274975507,269101.21286635136,115953.48743180206,3.989,41.31,-73.85,2851.0,2609.0,322600.0,0.9151175026306559,12480.0,HARLEM,Mount Kisco
61893,10607,Greenburgh,NY,New York,Westchester,10334,419200.0,2014-01-01,570920.7685720085,5936.922086496255,407372.2903608561,175500.1208563901,28.826,41.04,-73.81,2374.0,2255.0,543400.0,0.9498736310025274,21538.0,HARLEM,White Plains
61883,10595,Valhalla,NY,New York,Westchester,10472,485300.0,2014-01-01,580548.125899449,3755.994244346861,181401.03515960532,103687.01100769866,1.751,41.09,-73.77,2420.0,2330.0,606600.0,0.9628099173553719,58678.0,HARLEM,Valhalla
61822,10506,Bedford,NY,New York,Westchester,10568,766400.0,2014-01-01,940984.9002803906,10963.993017799687,1002413.9229846788,432353.9834964744,20.864,41.19,-73.63,2139.0,1928.0,945800.0,0.9013557737260403,41361.0,HARLEM,Bedford Hills
61842,10532,Hawthorne,NY,New York,Westchester,11374,460400.0,2014-01-01,295687.96151175274,6974.413251360529,946150.1476492776,361273.6698961542,-100.193,41.09,-73.8,1743.0,1707.0,529800.0,0.9793459552495697,21588.0,HARLEM,Hawthorne
61882,10594,Thornwood,NY,New York,Westchester,11644,514800.0,2014-01-01,637692.4185950473,4933.245863197371,372854.8688855581,161680.6921043995,7.052,41.12,-73.77,1694.0,1656.0,609400.0,0.9775678866587958,32527.0,HARLEM,Valhalla
61878,10588,Somers,NY,New York,Westchester,13069,327500.0,2014-01-01,395712.1369627843,4580.47326487489,118585.65326826402,74321.69582338198,0.006,41.33,-73.83,867.0,838.0,346300.0,0.9665513264129181,24813.0,HARLEM,Katonah
61838,10526,Goldens Bridge,NY,New York,Westchester,13854,453500.0,2014-01-01,449629.6289662115,12319.068510083365,217293.21346152097,141716.5032865977,-0.215,41.29,-73.66,729.0,674.0,496800.0,0.9245541838134431,10744.0,HARLEM,Goldens Bridge
61853,10546,Chappaqua,NY,New York,Westchester,14350,540800.0,2014-01-01,716691.0211995363,7450.157289554598,656340.3972703672,283910.38372750947,43.044,41.2,-73.8,476.0,454.0,646200.0,0.9537815126050421,199659.0,HARLEM,Chappaqua
61876,10583,Scarsdale,NY,New York,Westchester,2142,883100.0,2014-02-01,1015856.5981661637,7276.186435182579,1514130.347079823,554554.2113964558,-11.887,40.99,-73.79,14301.0,13710.0,834300.0,0.9586742185861129,176275.0,HARLEM,Scarsdale
61886,10598,Yorktown,NY,New York,Westchester,4137,380200.0,2014-02-01,458356.7054358947,2954.078661895939,295670.59819395025,126865.26436062761,5.259,41.29,-73.79,10644.0,10293.0,437900.0,0.9670236753100339,29639.0,HARLEM,Katonah
61902,10708,Eastchester,NY,New York,Westchester,4470,747200.0,2014-02-01,1182477.8792155627,9241.204217163147,1243671.132737022,522576.0676397395,65.975,40.94,-73.83,9667.0,9062.0,466900.0,0.9374159511740975,94867.0,HARLEM,Bronxville
61859,10552,Mount Vernon,NY,New York,Westchester,5136,396500.0,2014-02-01,621563.0699423776,6304.451992183225,746541.328491519,308123.13704690227,43.793,40.92,-73.83,9509.0,8869.0,381800.0,0.9326953412556526,13983.0,HARLEM,Mount Vernon West
61891,10605,White Plains,NY,New York,Westchester,5843,615200.0,2014-02-01,856830.3174401888,6214.339964835439,578068.4051804851,240973.01014819514,33.207,41.01,-73.74,7508.0,7157.0,608800.0,0.9532498668087374,22581.0,HARLEM,White Plains
61889,10603,Greenburgh,NY,New York,Westchester,6127,436800.0,2014-02-01,556463.616486924,5523.26912199927,507470.7052875762,217278.13477279068,23.073,41.06,-73.77,7070.0,6749.0,426900.0,0.9545968882602546,16389.0,HARLEM,North White Plains
61856,10549,Mount Kisco,NY,New York,Westchester,6670,634900.0,2014-02-01,789781.7468935926,7676.9632174992,736020.8647839711,316021.56706550886,20.754,41.2,-73.72,6305.0,5956.0,560500.0,0.9446471054718477,45929.0,HARLEM,Mount Kisco
61841,10530,Hartsdale,NY,New York,Westchester,6808,486000.0,2014-02-01,645748.1564128003,4912.990120143164,510111.39046201616,217341.11862019764,13.991,41.02,-73.8,6169.0,5878.0,413100.0,0.9528286594261631,32799.0,HARLEM,Hartsdale
61892,10606,White Plains,NY,New York,Westchester,7268,471400.0,2014-02-01,649515.129415524,3926.7405312368646,343428.3114422248,148019.06509237408,14.009,41.02,-73.78,6125.0,5755.0,512700.0,0.9395918367346939,16571.0,HARLEM,White Plains
61867,10570,Pleasantville,NY,New York,Westchester,8198,547600.0,2014-02-01,668792.8043357892,5754.287799737882,520603.5756701746,224390.25319385302,9.904,41.13,-73.79,4357.0,4201.0,641500.0,0.9641955473949966,53999.0,HARLEM,Pleasantville
61828,10514,Chappaqua,NY,New York,Westchester,8526,802100.0,2014-02-01,999197.3994928198,7253.1894234919455,1120391.0089754178,467762.3083434499,31.004,41.18,-73.77,4033.0,3893.0,912700.0,0.9652863873047359,44962.0,HARLEM,Chappaqua
61903,10709,Eastchester,NY,New York,Westchester,8767,596700.0,2014-02-01,710892.2979024182,5070.508319620974,495960.15521462145,211346.6010184681,5.369,40.96,-73.81,3781.0,3595.0,580500.0,0.9508066649034647,46235.0,HARLEM,Crestwood
61845,10536,Somers,NY,New York,Westchester,8775,619900.0,2014-02-01,670098.1607267833,6872.063290370628,799937.3022332822,312123.38729239977,9.663,41.27,-73.69,3776.0,3581.0,731800.0,0.9483580508474576,70349.0,HARLEM,Katonah
61890,10604,White Plains,NY,New York,Westchester,8873,522100.0,2014-02-01,715869.2068809669,5138.177491295384,495532.3655374935,211414.85735349156,23.426,41.05,-73.73,4252.0,4017.0,666000.0,0.9447318908748824,4900.0,HARLEM,White Plains
61860,10553,Mount Vernon,NY,New York,Westchester,8967,257000.0,2014-02-01,300303.8022300415,6255.936614658218,568612.3904852396,238123.52644856836,-18.812,40.91,-73.82,3812.0,3499.0,412300.0,0.917890870933893,4046.0,HARLEM,Mount Vernon West
61836,10523,Elmsford,NY,New York,Westchester,9210,380600.0,2014-02-01,419506.81847948884,5703.508127794252,521054.5136237614,222840.55434585828,4.348,41.05,-73.82,2676.0,2514.0,424200.0,0.9394618834080718,21799.0,HARLEM,Hartsdale
61820,10504,North Castle,NY,New York,Westchester,9724,958400.0,2014-02-01,1153808.4626774292,12844.63101642672,1349994.78766884,580896.2005927266,48.34,41.13,-73.69,2735.0,2605.0,1000001.0,0.9524680073126143,159778.0,HARLEM,White Plains
61854,10547,Yorktown,NY,New York,Westchester,9801,312900.0,2014-02-01,369142.7879925228,2958.5102274975507,269101.21286635136,115953.48743180206,3.989,41.31,-73.85,2851.0,2609.0,322600.0,0.9151175026306559,12480.0,HARLEM,Mount Kisco
61893,10607,Greenburgh,NY,New York,Westchester,10334,423600.0,2014-02-01,570920.7685720085,5936.922086496255,407372.2903608561,175500.1208563901,28.826,41.04,-73.81,2374.0,2255.0,543400.0,0.9498736310025274,21538.0,HARLEM,White Plains
61883,10595,Valhalla,NY,New York,Westchester,10472,486700.0,2014-02-01,580548.125899449,3755.994244346861,181401.03515960532,103687.01100769866,1.751,41.09,-73.77,2420.0,2330.0,606600.0,0.9628099173553719,58678.0,HARLEM,Valhalla
61822,10506,Bedford,NY,New York,Westchester,10568,765500.0,2014-02-01,940984.9002803906,10963.993017799687,1002413.9229846788,432353.9834964744,20.864,41.19,-73.63,2139.0,1928.0,945800.0,0.9013557737260403,41361.0,HARLEM,Bedford Hills
61842,10532,Hawthorne,NY,New York,Westchester,11374,466400.0,2014-02-01,295687.96151175274,6974.413251360529,946150.1476492776,361273.6698961542,-100.193,41.09,-73.8,1743.0,1707.0,529800.0,0.9793459552495697,21588.0,HARLEM,Hawthorne
61882,10594,Thornwood,NY,New York,Westchester,11644,515000.0,2014-02-01,637692.4185950473,4933.245863197371,372854.8688855581,161680.6921043995,7.052,41.12,-73.77,1694.0,1656.0,609400.0,0.9775678866587958,32527.0,HARLEM,Valhalla
61878,10588,Somers,NY,New York,Westchester,13069,332200.0,2014-02-01,395712.1369627843,4580.47326487489,118585.65326826402,74321.69582338198,0.006,41.33,-73.83,867.0,838.0,346300.0,0.9665513264129181,24813.0,HARLEM,Katonah
61838,10526,Goldens Bridge,NY,New York,Westchester,13854,459300.0,2014-02-01,449629.6289662115,12319.068510083365,217293.21346152097,141716.5032865977,-0.215,41.29,-73.66,729.0,674.0,496800.0,0.9245541838134431,10744.0,HARLEM,Goldens Bridge
61853,10546,Chappaqua,NY,New York,Westchester,14350,531800.0,2014-02-01,716691.0211995363,7450.157289554598,656340.3972703672,283910.38372750947,43.044,41.2,-73.8,476.0,454.0,646200.0,0.9537815126050421,199659.0,HARLEM,Chappaqua
61876,10583,Scarsdale,NY,New York,Westchester,2142,881700.0,2014-03-01,1015856.5981661637,7276.186435182579,1514130.347079823,554554.2113964558,-11.887,40.99,-73.79,14301.0,13710.0,834300.0,0.9586742185861129,176275.0,HARLEM,Scarsdale
61886,10598,Yorktown,NY,New York,Westchester,4137,378400.0,2014-03-01,458356.7054358947,2954.078661895939,295670.59819395025,126865.26436062761,5.259,41.29,-73.79,10644.0,10293.0,437900.0,0.9670236753100339,29639.0,HARLEM,Katonah
61902,10708,Eastchester,NY,New York,Westchester,4470,743000.0,2014-03-01,1182477.8792155627,9241.204217163147,1243671.132737022,522576.0676397395,65.975,40.94,-73.83,9667.0,9062.0,466900.0,0.9374159511740975,94867.0,HARLEM,Bronxville
61859,10552,Mount Vernon,NY,New York,Westchester,5136,398600.0,2014-03-01,621563.0699423776,6304.451992183225,746541.328491519,308123.13704690227,43.793,40.92,-73.83,9509.0,8869.0,381800.0,0.9326953412556526,13983.0,HARLEM,Mount Vernon West
61891,10605,White Plains,NY,New York,Westchester,5843,614800.0,2014-03-01,856830.3174401888,6214.339964835439,578068.4051804851,240973.01014819514,33.207,41.01,-73.74,7508.0,7157.0,608800.0,0.9532498668087374,22581.0,HARLEM,White Plains
61889,10603,Greenburgh,NY,New York,Westchester,6127,429100.0,2014-03-01,556463.616486924,5523.26912199927,507470.7052875762,217278.13477279068,23.073,41.06,-73.77,7070.0,6749.0,426900.0,0.9545968882602546,16389.0,HARLEM,North White Plains
61856,10549,Mount Kisco,NY,New York,Westchester,6670,630600.0,2014-03-01,789781.7468935926,7676.9632174992,736020.8647839711,316021.56706550886,20.754,41.2,-73.72,6305.0,5956.0,560500.0,0.9446471054718477,45929.0,HARLEM,Mount Kisco
61841,10530,Hartsdale,NY,New York,Westchester,6808,490000.0,2014-03-01,645748.1564128003,4912.990120143164,510111.39046201616,217341.11862019764,13.991,41.02,-73.8,6169.0,5878.0,413100.0,0.9528286594261631,32799.0,HARLEM,Hartsdale
61892,10606,White Plains,NY,New York,Westchester,7268,473200.0,2014-03-01,649515.129415524,3926.7405312368646,343428.3114422248,148019.06509237408,14.009,41.02,-73.78,6125.0,5755.0,512700.0,0.9395918367346939,16571.0,HARLEM,White Plains
61867,10570,Pleasantville,NY,New York,Westchester,8198,547100.0,2014-03-01,668792.8043357892,5754.287799737882,520603.5756701746,224390.25319385302,9.904,41.13,-73.79,4357.0,4201.0,641500.0,0.9641955473949966,53999.0,HARLEM,Pleasantville
61828,10514,Chappaqua,NY,New York,Westchester,8526,803100.0,2014-03-01,999197.3994928198,7253.1894234919455,1120391.0089754178,467762.3083434499,31.004,41.18,-73.77,4033.0,3893.0,912700.0,0.9652863873047359,44962.0,HARLEM,Chappaqua
61903,10709,Eastchester,NY,New York,Westchester,8767,601500.0,2014-03-01,710892.2979024182,5070.508319620974,495960.15521462145,211346.6010184681,5.369,40.96,-73.81,3781.0,3595.0,580500.0,0.9508066649034647,46235.0,HARLEM,Crestwood
61845,10536,Somers,NY,New York,Westchester,8775,617900.0,2014-03-01,670098.1607267833,6872.063290370628,799937.3022332822,312123.38729239977,9.663,41.27,-73.69,3776.0,3581.0,731800.0,0.9483580508474576,70349.0,HARLEM,Katonah
61890,10604,White Plains,NY,New York,Westchester,8873,522600.0,2014-03-01,715869.2068809669,5138.177491295384,495532.3655374935,211414.85735349156,23.426,41.05,-73.73,4252.0,4017.0,666000.0,0.9447318908748824,4900.0,HARLEM,White Plains
61860,10553,Mount Vernon,NY,New York,Westchester,8967,259400.0,2014-03-01,300303.8022300415,6255.936614658218,568612.3904852396,238123.52644856836,-18.812,40.91,-73.82,3812.0,3499.0,412300.0,0.917890870933893,4046.0,HARLEM,Mount Vernon West
61836,10523,Elmsford,NY,New York,Westchester,9210,381400.0,2014-03-01,419506.81847948884,5703.508127794252,521054.5136237614,222840.55434585828,4.348,41.05,-73.82,2676.0,2514.0,424200.0,0.9394618834080718,21799.0,HARLEM,Hartsdale
61820,10504,North Castle,NY,New York,Westchester,9724,952900.0,2014-03-01,1153808.4626774292,12844.63101642672,1349994.78766884,580896.2005927266,48.34,41.13,-73.69,2735.0,2605.0,1000001.0,0.9524680073126143,159778.0,HARLEM,White Plains
61854,10547,Yorktown,NY,New York,Westchester,9801,311300.0,2014-03-01,369142.7879925228,2958.5102274975507,269101.21286635136,115953.48743180206,3.989,41.31,-73.85,2851.0,2609.0,322600.0,0.9151175026306559,12480.0,HARLEM,Mount Kisco
61893,10607,Greenburgh,NY,New York,Westchester,10334,426500.0,2014-03-01,570920.7685720085,5936.922086496255,407372.2903608561,175500.1208563901,28.826,41.04,-73.81,2374.0,2255.0,543400.0,0.9498736310025274,21538.0,HARLEM,White Plains
61883,10595,Valhalla,NY,New York,Westchester,10472,489500.0,2014-03-01,580548.125899449,3755.994244346861,181401.03515960532,103687.01100769866,1.751,41.09,-73.77,2420.0,2330.0,606600.0,0.9628099173553719,58678.0,HARLEM,Valhalla
61822,10506,Bedford,NY,New York,Westchester,10568,760800.0,2014-03-01,940984.9002803906,10963.993017799687,1002413.9229846788,432353.9834964744,20.864,41.19,-73.63,2139.0,1928.0,945800.0,0.9013557737260403,41361.0,HARLEM,Bedford Hills
61842,10532,Hawthorne,NY,New York,Westchester,11374,470700.0,2014-03-01,295687.96151175274,6974.413251360529,946150.1476492776,361273.6698961542,-100.193,41.09,-73.8,1743.0,1707.0,529800.0,0.9793459552495697,21588.0,HARLEM,Hawthorne
61882,10594,Thornwood,NY,New York,Westchester,11644,515700.0,2014-03-01,637692.4185950473,4933.245863197371,372854.8688855581,161680.6921043995,7.052,41.12,-73.77,1694.0,1656.0,609400.0,0.9775678866587958,32527.0,HARLEM,Valhalla
61878,10588,Somers,NY,New York,Westchester,13069,336300.0,2014-03-01,395712.1369627843,4580.47326487489,118585.65326826402,74321.69582338198,0.006,41.33,-73.83,867.0,838.0,346300.0,0.9665513264129181,24813.0,HARLEM,Katonah
61838,10526,Goldens Bridge,NY,New York,Westchester,13854,462300.0,2014-03-01,449629.6289662115,12319.068510083365,217293.21346152097,141716.5032865977,-0.215,41.29,-73.66,729.0,674.0,496800.0,0.9245541838134431,10744.0,HARLEM,Goldens Bridge
61853,10546,Chappaqua,NY,New York,Westchester,14350,525100.0,2014-03-01,716691.0211995363,7450.157289554598,656340.3972703672,283910.38372750947,43.044,41.2,-73.8,476.0,454.0,646200.0,0.9537815126050421,199659.0,HARLEM,Chappaqua
61876,10583,Scarsdale,NY,New York,Westchester,2142,881200.0,2014-04-01,1015856.5981661637,7276.186435182579,1514130.347079823,554554.2113964558,-11.887,40.99,-73.79,14301.0,13710.0,834300.0,0.9586742185861129,176275.0,HARLEM,Scarsdale
61886,10598,Yorktown,NY,New York,Westchester,4137,378100.0,2014-04-01,458356.7054358947,2954.078661895939,295670.59819395025,126865.26436062761,5.259,41.29,-73.79,10644.0,10293.0,437900.0,0.9670236753100339,29639.0,HARLEM,Katonah
61902,10708,Eastchester,NY,New York,Westchester,4470,741100.0,2014-04-01,1182477.8792155627,9241.204217163147,1243671.132737022,522576.0676397395,65.975,40.94,-73.83,9667.0,9062.0,466900.0,0.9374159511740975,94867.0,HARLEM,Bronxville
61859,10552,Mount Vernon,NY,New York,Westchester,5136,402300.0,2014-04-01,621563.0699423776,6304.451992183225,746541.328491519,308123.13704690227,43.793,40.92,-73.83,9509.0,8869.0,381800.0,0.9326953412556526,13983.0,HARLEM,Mount Vernon West
61891,10605,White Plains,NY,New York,Westchester,5843,615400.0,2014-04-01,856830.3174401888,6214.339964835439,578068.4051804851,240973.01014819514,33.207,41.01,-73.74,7508.0,7157.0,608800.0,0.9532498668087374,22581.0,HARLEM,White Plains
61889,10603,Greenburgh,NY,New York,Westchester,6127,424200.0,2014-04-01,556463.616486924,5523.26912199927,507470.7052875762,217278.13477279068,23.073,41.06,-73.77,7070.0,6749.0,426900.0,0.9545968882602546,16389.0,HARLEM,North White Plains
61856,10549,Mount Kisco,NY,New York,Westchester,6670,626200.0,2014-04-01,789781.7468935926,7676.9632174992,736020.8647839711,316021.56706550886,20.754,41.2,-73.72,6305.0,5956.0,560500.0,0.9446471054718477,45929.0,HARLEM,Mount Kisco
61841,10530,Hartsdale,NY,New York,Westchester,6808,492400.0,2014-04-01,645748.1564128003,4912.990120143164,510111.39046201616,217341.11862019764,13.991,41.02,-73.8,6169.0,5878.0,413100.0,0.9528286594261631,32799.0,HARLEM,Hartsdale
61892,10606,White Plains,NY,New York,Westchester,7268,474400.0,2014-04-01,649515.129415524,3926.7405312368646,343428.3114422248,148019.06509237408,14.009,41.02,-73.78,6125.0,5755.0,512700.0,0.9395918367346939,16571.0,HARLEM,White Plains
61867,10570,Pleasantville,NY,New York,Westchester,8198,548100.0,2014-04-01,668792.8043357892,5754.287799737882,520603.5756701746,224390.25319385302,9.904,41.13,-73.79,4357.0,4201.0,641500.0,0.9641955473949966,53999.0,HARLEM,Pleasantville
61828,10514,Chappaqua,NY,New York,Westchester,8526,808200.0,2014-04-01,999197.3994928198,7253.1894234919455,1120391.0089754178,467762.3083434499,31.004,41.18,-73.77,4033.0,3893.0,912700.0,0.9652863873047359,44962.0,HARLEM,Chappaqua
61903,10709,Eastchester,NY,New York,Westchester,8767,605300.0,2014-04-01,710892.2979024182,5070.508319620974,495960.15521462145,211346.6010184681,5.369,40.96,-73.81,3781.0,3595.0,580500.0,0.9508066649034647,46235.0,HARLEM,Crestwood
61845,10536,Somers,NY,New York,Westchester,8775,616700.0,2014-04-01,670098.1607267833,6872.063290370628,799937.3022332822,312123.38729239977,9.663,41.27,-73.69,3776.0,3581.0,731800.0,0.9483580508474576,70349.0,HARLEM,Katonah
61890,10604,White Plains,NY,New York,Westchester,8873,525400.0,2014-04-01,715869.2068809669,5138.177491295384,495532.3655374935,211414.85735349156,23.426,41.05,-73.73,4252.0,4017.0,666000.0,0.9447318908748824,4900.0,HARLEM,White Plains
61860,10553,Mount Vernon,NY,New York,Westchester,8967,261500.0,2014-04-01,300303.8022300415,6255.936614658218,568612.3904852396,238123.52644856836,-18.812,40.91,-73.82,3812.0,3499.0,412300.0,0.917890870933893,4046.0,HARLEM,Mount Vernon West
61836,10523,Elmsford,NY,New York,Westchester,9210,380200.0,2014-04-01,419506.81847948884,5703.508127794252,521054.5136237614,222840.55434585828,4.348,41.05,-73.82,2676.0,2514.0,424200.0,0.9394618834080718,21799.0,HARLEM,Hartsdale
61820,10504,North Castle,NY,New York,Westchester,9724,943000.0,2014-04-01,1153808.4626774292,12844.63101642672,1349994.78766884,580896.2005927266,48.34,41.13,-73.69,2735.0,2605.0,1000001.0,0.9524680073126143,159778.0,HARLEM,White Plains
61854,10547,Yorktown,NY,New York,Westchester,9801,310200.0,2014-04-01,369142.7879925228,2958.5102274975507,269101.21286635136,115953.48743180206,3.989,41.31,-73.85,2851.0,2609.0,322600.0,0.9151175026306559,12480.0,HARLEM,Mount Kisco
61893,10607,Greenburgh,NY,New York,Westchester,10334,428300.0,2014-04-01,570920.7685720085,5936.922086496255,407372.2903608561,175500.1208563901,28.826,41.04,-73.81,2374.0,2255.0,543400.0,0.9498736310025274,21538.0,HARLEM,White Plains
61883,10595,Valhalla,NY,New York,Westchester,10472,494700.0,2014-04-01,580548.125899449,3755.994244346861,181401.03515960532,103687.01100769866,1.751,41.09,-73.77,2420.0,2330.0,606600.0,0.9628099173553719,58678.0,HARLEM,Valhalla
61822,10506,Bedford,NY,New York,Westchester,10568,756800.0,2014-04-01,940984.9002803906,10963.993017799687,1002413.9229846788,432353.9834964744,20.864,41.19,-73.63,2139.0,1928.0,945800.0,0.9013557737260403,41361.0,HARLEM,Bedford Hills
61842,10532,Hawthorne,NY,New York,Westchester,11374,472600.0,2014-04-01,295687.96151175274,6974.413251360529,946150.1476492776,361273.6698961542,-100.193,41.09,-73.8,1743.0,1707.0,529800.0,0.9793459552495697,21588.0,HARLEM,Hawthorne
61882,10594,Thornwood,NY,New York,Westchester,11644,519700.0,2014-04-01,637692.4185950473,4933.245863197371,372854.8688855581,161680.6921043995,7.052,41.12,-73.77,1694.0,1656.0,609400.0,0.9775678866587958,32527.0,HARLEM,Valhalla
61878,10588,Somers,NY,New York,Westchester,13069,336000.0,2014-04-01,395712.1369627843,4580.47326487489,118585.65326826402,74321.69582338198,0.006,41.33,-73.83,867.0,838.0,346300.0,0.9665513264129181,24813.0,HARLEM,Katonah
61838,10526,Goldens Bridge,NY,New York,Westchester,13854,463100.0,2014-04-01,449629.6289662115,12319.068510083365,217293.21346152097,141716.5032865977,-0.215,41.29,-73.66,729.0,674.0,496800.0,0.9245541838134431,10744.0,HARLEM,Goldens Bridge
61853,10546,Chappaqua,NY,New York,Westchester,14350,521700.0,2014-04-01,716691.0211995363,7450.157289554598,656340.3972703672,283910.38372750947,43.044,41.2,-73.8,476.0,454.0,646200.0,0.9537815126050421,199659.0,HARLEM,Chappaqua
61876,10583,Scarsdale,NY,New York,Westchester,2142,882200.0,2014-05-01,1015856.5981661637,7276.186435182579,1514130.347079823,554554.2113964558,-11.887,40.99,-73.79,14301.0,13710.0,834300.0,0.9586742185861129,176275.0,HARLEM,Scarsdale
61886,10598,Yorktown,NY,New York,Westchester,4137,376900.0,2014-05-01,458356.7054358947,2954.078661895939,295670.59819395025,126865.26436062761,5.259,41.29,-73.79,10644.0,10293.0,437900.0,0.9670236753100339,29639.0,HARLEM,Katonah
61902,10708,Eastchester,NY,New York,Westchester,4470,740900.0,2014-05-01,1182477.8792155627,9241.204217163147,1243671.132737022,522576.0676397395,65.975,40.94,-73.83,9667.0,9062.0,466900.0,0.9374159511740975,94867.0,HARLEM,Bronxville
61859,10552,Mount Vernon,NY,New York,Westchester,5136,406700.0,2014-05-01,621563.0699423776,6304.451992183225,746541.328491519,308123.13704690227,43.793,40.92,-73.83,9509.0,8869.0,381800.0,0.9326953412556526,13983.0,HARLEM,Mount Vernon West
61891,10605,White Plains,NY,New York,Westchester,5843,617900.0,2014-05-01,856830.3174401888,6214.339964835439,578068.4051804851,240973.01014819514,33.207,41.01,-73.74,7508.0,7157.0,608800.0,0.9532498668087374,22581.0,HARLEM,White Plains
61889,10603,Greenburgh,NY,New York,Westchester,6127,424600.0,2014-05-01,556463.616486924,5523.26912199927,507470.7052875762,217278.13477279068,23.073,41.06,-73.77,7070.0,6749.0,426900.0,0.9545968882602546,16389.0,HARLEM,North White Plains
61856,10549,Mount Kisco,NY,New York,Westchester,6670,624800.0,2014-05-01,789781.7468935926,7676.9632174992,736020.8647839711,316021.56706550886,20.754,41.2,-73.72,6305.0,5956.0,560500.0,0.9446471054718477,45929.0,HARLEM,Mount Kisco
61841,10530,Hartsdale,NY,New York,Westchester,6808,493600.0,2014-05-01,645748.1564128003,4912.990120143164,510111.39046201616,217341.11862019764,13.991,41.02,-73.8,6169.0,5878.0,413100.0,0.9528286594261631,32799.0,HARLEM,Hartsdale
61892,10606,White Plains,NY,New York,Westchester,7268,476300.0,2014-05-01,649515.129415524,3926.7405312368646,343428.3114422248,148019.06509237408,14.009,41.02,-73.78,6125.0,5755.0,512700.0,0.9395918367346939,16571.0,HARLEM,White Plains
61867,10570,Pleasantville,NY,New York,Westchester,8198,551000.0,2014-05-01,668792.8043357892,5754.287799737882,520603.5756701746,224390.25319385302,9.904,41.13,-73.79,4357.0,4201.0,641500.0,0.9641955473949966,53999.0,HARLEM,Pleasantville
61828,10514,Chappaqua,NY,New York,Westchester,8526,818100.0,2014-05-01,999197.3994928198,7253.1894234919455,1120391.0089754178,467762.3083434499,31.004,41.18,-73.77,4033.0,3893.0,912700.0,0.9652863873047359,44962.0,HARLEM,Chappaqua
61903,10709,Eastchester,NY,New York,Westchester,8767,606600.0,2014-05-01,710892.2979024182,5070.508319620974,495960.15521462145,211346.6010184681,5.369,40.96,-73.81,3781.0,3595.0,580500.0,0.9508066649034647,46235.0,HARLEM,Crestwood
61845,10536,Somers,NY,New York,Westchester,8775,616500.0,2014-05-01,670098.1607267833,6872.063290370628,799937.3022332822,312123.38729239977,9.663,41.27,-73.69,3776.0,3581.0,731800.0,0.9483580508474576,70349.0,HARLEM,Katonah
61890,10604,White Plains,NY,New York,Westchester,8873,527600.0,2014-05-01,715869.2068809669,5138.177491295384,495532.3655374935,211414.85735349156,23.426,41.05,-73.73,4252.0,4017.0,666000.0,0.9447318908748824,4900.0,HARLEM,White Plains
61860,10553,Mount Vernon,NY,New York,Westchester,8967,266200.0,2014-05-01,300303.8022300415,6255.936614658218,568612.3904852396,238123.52644856836,-18.812,40.91,-73.82,3812.0,3499.0,412300.0,0.917890870933893,4046.0,HARLEM,Mount Vernon West
